indicator,ic_mean,ic_std,ic_ir,ic_positive_ratio,ls_return,date_count
current_ratio,0.007733585077031085,0.07525879688070994,0.10275988186855176,0.5289256198347108,0.021035348765859118,242
cf_to_nincome,0.005999858596820156,0.07093655490874279,0.0845806313055201,0.5165289256198347,0.003642415536396276,242
gross_margin,0.01011562355088688,0.12736857148084832,0.07942009110471894,0.5454545454545454,-0.0026252790527297315,242
op_margin,0.01011562355088688,0.12736857148084832,0.07942009110471894,0.5454545454545454,-0.0026252790527297315,242
net_margin,0.009890746707207253,0.12634320908215538,0.07828475134564407,0.5247933884297521,0.0013615827866160415,242
roa,0.01061316948391272,0.13609647267226274,0.0779826932728121,0.5413223140495868,0.0030736935444250013,242
roe,0.009512163791308276,0.1384412110817188,0.06870904781159026,0.5206611570247934,-0.008531370139178282,242
cf_to_revenue,0.004802146177978039,0.08734842339351793,0.0549769073260045,0.5330578512396694,-0.005393837832869553,242
log_revenue,0.002927646393712478,0.1422252472682599,0.020584575874847744,0.5371900826446281,-0.024127599123428562,242
log_assets,0.0009957131461130538,0.14493855580962986,0.0068698983548647835,0.5289256198347108,-0.03487488633795108,242
ar_turnover,-6.247901210135462e-05,0.12634593116262777,-0.0004945075122437775,0.5289256198347108,-0.027657413770374135,242
inv_turnover,-0.002543859186228966,0.0818304400718097,-0.031086954732207493,0.49586776859504134,-0.04522922169722422,242
ps,-0.007868390218424061,0.12723122226960626,-0.061843233744550044,0.45867768595041325,-0.017964050610067873,242
cf_growth,-0.0045714139541281704,0.06313041833398982,-0.07241222337452645,0.36363636363636365,-0.03787650429492586,242
pb,-0.01608259162618031,0.1545573819525176,-0.10405579741976433,0.45454545454545453,-0.0501381790616524,242
debt_ratio,-0.007882095476369604,0.05319159826399491,-0.1481830915711542,0.43388429752066116,-0.02382473724564507,242
revenue_growth,-0.028039507501340887,0.0675479316046343,-0.41510534571893776,0.2727272727272727,-0.25312800062007856,242
profit_growth,-0.021002151957012175,0.04181412388549617,-0.502274112319667,0.36363636363636365,-0.11119947671779083,242
