lag,factor,ic
1,order_imbalance,0.001518515692919743
1,effective_spread,-0.0008206753187654269
1,realized_volatility,0.0009257437091448303
1,bid_ask_spread,-0.0013848169423560908
1,vwap_deviation,0.0034976191678620363
1,price_momentum,-0.1855084344566669
1,trade_flow_intensity,0.012489454509999826
1,micro_price,0.001535256168998584
1,trade_imbalance,-0.2748338927089542
1,depth_imbalance,0.0015185156929197613
5,order_imbalance,0.008058452919026965
5,effective_spread,-0.00036125034947479375
5,realized_volatility,0.0025421725128302068
5,bid_ask_spread,-0.0005145612340754853
5,vwap_deviation,-0.0004950906761995309
5,price_momentum,-0.18347101435848165
5,trade_flow_intensity,0.022099820176509546
5,micro_price,0.0006617938248468299
5,trade_imbalance,-0.2616992337003058
5,depth_imbalance,0.008058452919026925
10,order_imbalance,0.011734260200753856
10,effective_spread,-0.001963589506218303
10,realized_volatility,0.00346063389527016
10,bid_ask_spread,-0.0002769632222175186
10,vwap_deviation,-0.002717250313099129
10,price_momentum,-0.16306974400079796
10,trade_flow_intensity,0.0234174994541468
10,micro_price,0.0009186497587713933
10,trade_imbalance,-0.21971832102589395
10,depth_imbalance,0.011734260200753946
