factor,ic_mean,ic_std,ic_ir,ic_positive_ratio,ls_return,date_count
daily_basic.volume_ratio,0.3043798530409891,0.1404085761849019,2.1678152525395307,0.9710743801652892,1.7082210611150659,242
daily_basic.turnover_rate_f,0.05288422889389004,0.19999969120633235,0.26442155272795553,0.6322314049586777,0.28011371053088147,242
daily.vol,0.03825330023640471,0.1517656981392973,0.2520549814971637,0.6033057851239669,0.2360375946920233,242
daily_basic.turnover_rate,0.04658115824905383,0.20816767886769288,0.223767486395714,0.5950413223140496,0.25668555824901035,242
daily.amount,0.028781828660917795,0.18489360681062214,0.1556669760377257,0.5661157024793388,0.23704009137212773,242
income_daily.basic_eps,0.01848226395706592,0.15744431206143425,0.11738921346268895,0.5537190082644629,0.13584032908064028,242
daily_basic.dv_ratio,0.016653914193355178,0.14465345937432775,0.1151297332631287,0.5619834710743802,0.0,242
income_daily.n_income,0.017810767005294197,0.16505764321532676,0.10790634507036474,0.5413223140495868,0.14551819274591896,242
income_daily.operate_profit,0.01752688356992511,0.1662226696426798,0.10544219755104246,0.5454545454545454,0.14057179851784152,242
income_daily.total_profit,0.017528028848705215,0.1663993315685732,0.10533713497209518,0.5454545454545454,0.14179066703804788,242
cashflow_daily.n_cashflow_act,0.009344470389439006,0.10852884489808332,0.08610126089717587,0.5371900826446281,0.0828700107340213,242
balance_daily.total_hldr_eqy_exc_min_int,0.013215960003826506,0.15946162118707344,0.08287862562441979,0.5619834710743802,0.1368992476244104,242
balance_daily.inventories,0.008434872594617481,0.10429581916541443,0.08087450352386294,0.5702479338842975,0.08909660088604228,242
income_daily.income_tax,0.010776293261474583,0.1536461136237774,0.07013710277021225,0.5661157024793388,0.09131780893463011,242
balance_daily.accounts_receiv,0.007341879711953366,0.12429916918428079,0.0590662010062883,0.512396694214876,0.07509073191249034,242
income_daily.revenue,0.007658024020576449,0.14398437372243506,0.053186493940926914,0.5619834710743802,0.09549330462755276,242
balance_daily.total_cur_assets,0.007278953026026381,0.1384652034299749,0.052568824843474256,0.5454545454545454,0.09441344697451454,242
income_daily.total_revenue,0.007624424596158719,0.14587014937697754,0.05226857330799491,0.5495867768595041,0.0921829247232433,242
daily_basic.close,0.007521384984957464,0.16984195220685216,0.044284612177544314,0.5082644628099173,0.1140015062111567,242
daily.close,0.007521384984957464,0.16984195220685216,0.044284612177544314,0.5082644628099173,0.1140015062111567,242
balance_daily.total_assets,0.005836930633342921,0.1484214102502176,0.0393267428432507,0.5413223140495868,0.08921252514679028,242
daily_basic.dv_ttm,0.002781897020799797,0.16821028693306983,0.0165382098296206,0.5289256198347108,0.008809921097842323,242
balance_daily.total_liab,0.0018306811858505192,0.12210326015696667,0.014992893584472148,0.5289256198347108,0.056377391653976754,242
daily_basic.total_mv,0.001480296782793375,0.1926428851457727,0.007684149776272482,0.5,0.12524194460328156,242
daily_basic.circ_mv,0.0012259011931144393,0.18975551569105437,0.0064604245555125745,0.48760330578512395,0.12392323435338115,242
daily.high,0.0001883977872401848,0.16943966507042427,0.0011118871555953617,0.49173553719008267,0.06800401774682313,242
daily.low,-0.004171398478778701,0.17007301418629578,-0.02452710383676393,0.4793388429752066,0.04251501721442836,242
daily_basic.pe,-0.006119302599642934,0.1621389757906136,-0.037741095685379235,0.47107438016528924,-0.05235995678574775,242
daily_basic.total_share,-0.0038841826978670037,0.09936134965120545,-0.039091484883225724,0.5041322314049587,0.04187629318743651,242
daily_basic.ps,-0.00494771102115425,0.12505615846270413,-0.0395639133808018,0.49586776859504134,0.006410509703976084,242
daily_basic.float_share,-0.004032992636717523,0.09870674315964661,-0.0408583295083967,0.5165289256198347,0.04067643008134704,242
cashflow_daily.n_cash_flows_fnc_act,-0.0017809644938050686,0.04356713641265445,-0.040878621834043054,0.5,-0.015209756568229286,242
daily_basic.pe_ttm,-0.00881020009105866,0.17233512629596656,-0.05112248605619793,0.47107438016528924,-0.062158514947637196,242
daily_basic.free_share,-0.0046774903502617,0.08740164518512522,-0.053517188839572974,0.47520661157024796,0.03436704213653479,242
daily_basic.ps_ttm,-0.007162269346637235,0.12492626838195277,-0.05733197220571041,0.4834710743801653,-0.006775484066114773,242
cashflow_daily.n_cashflow_inv_act,-0.00633883167924742,0.10713751423212113,-0.059165379416157494,0.4628099173553719,-0.07627058701140346,242
daily.open,-0.014131503181629255,0.16967081477662854,-0.08328776637416026,0.47107438016528924,-0.01991688733977678,242
daily_basic.pb,-0.014636672340107943,0.1534136637828974,-0.09540657578467691,0.45454545454545453,-0.029952433374809254,242
daily.pre_close,-0.01837414082791788,0.16963820861897672,-0.10831369287321302,0.45867768595041325,-0.05624090045296271,242
