,IC,IC_tstat,IC_pvalue,RankIC,IC_abs,n_samples,rating
pb,0.13553733006450053,59.470899717546864,0.0,0.11710243644937428,0.13553733006450053,188992.0,A级 (强预测)
ps,0.09689079539914609,42.34595333915365,0.0,0.10518101967377802,0.09689079539914609,189220.0,A级 (强预测)
revenue_growth,0.06178765178121131,17.557618744999235,0.0,0.08187840517426422,0.06178765178121131,80441.0,A级 (强预测)
pe,0.04005579493398588,17.430292632571437,0.0,0.058653306940371554,0.04005579493398588,189054.0,B级 (中等预测)
debt_ratio,-0.026126006001857185,-11.361331007702153,0.0,-0.031582815168795894,0.026126006001857185,188982.0,C级 (弱预测)
basic_eps_factor,-0.02308428716435086,-10.039748911879334,0.0,-0.020089848275085923,0.02308428716435086,189054.0,C级 (弱预测)
ar_turnover,-0.02046679047621904,-8.801968639096943,0.0,-0.03804370471771692,0.02046679047621904,184877.0,C级 (弱预测)
inventory_turnover,-0.017417309023805463,-7.45879118134538,8.770761894538737e-14,-0.030664528338592567,0.017417309023805463,183336.0,D级 (无预测)
eps_growth,0.016892189174283596,4.783767897485775,1.7234463651760734e-06,0.04265238385040597,0.016892189174283596,80178.0,D级 (无预测)
operating_margin,-0.01651897726718657,-7.185729187852697,6.710187960834446e-13,-0.02087692310580087,0.01651897726718657,189174.0,D级 (无预测)
roa,-0.01594070055880873,-6.9283023647345345,4.2728043325723775e-12,-0.012301372693115072,0.01594070055880873,188857.0,D级 (无预测)
ocf_yield,-0.015689401845662317,-6.324366505332517,2.5493118727126785e-10,-0.014077439728856573,0.015689401845662317,162450.0,D级 (无预测)
profit_growth,0.012406234660296297,3.5192266418828977,0.00043304564310009397,0.03973827193190951,0.012406234660296297,80456.0,D级 (无预测)
net_profit_margin,-0.012306838937427704,-5.353455975184414,8.639018633793683e-08,-0.017785991384100044,0.012306838937427704,189197.0,D级 (无预测)
current_ratio,0.01148457603991983,4.945993215023555,7.582265668659716e-07,0.028135529761432597,0.01148457603991983,185449.0,D级 (无预测)
quick_ratio,0.00907806214241241,3.8886345324073606,0.00010084526499354318,0.024193601596238946,0.00907806214241241,183475.0,D级 (无预测)
roe,-0.008651170527676607,-3.7596292553656405,0.00017021658253923988,-0.02379429837804437,0.008651170527676607,188848.0,D级 (无预测)
lt_debt_ratio,-0.006802130129323601,-2.9293543878559163,0.0033970826695450818,9.91265784373399e-05,0.006802130129323601,185455.0,D级 (无预测)
asset_turnover,-0.0032659221888761674,-1.4191324991531595,0.15586204142047055,0.0013780448545899512,0.0032659221888761674,188814.0,D级 (无预测)
inv_cash_ratio,-0.001202598913559763,-0.4844477354223863,0.6280688016079883,0.0028831981452030987,0.001202598913559763,162277.0,D级 (无预测)
ocf_to_netincome,0.0002441716238367305,0.09840995227902556,0.9216068936923805,-0.009819946296055673,0.0002441716238367305,162440.0,D级 (无预测)
